timestamp,vehicle
1677895200000,92
1677898800000,48
1677902400000,59
1677906000000,74
1677909600000,109
1677913200000,291
1677916800000,482
1677920400000,710
1677924000000,841
1677927600000,988
1677931200000,1034
1677934800000,972
1677938400000,1004
1677942000000,1119
1677945600000,1049
1677949200000,990
1677952800000,976
1677956400000,947
1677960000000,845
1677963600000,563
1677967200000,514
1677970800000,459
1677974400000,333
1677978000000,222
1677981600000,119
1677985200000,69
1677988800000,77
1677992400000,62
1677996000000,76
1677999600000,140
1678003200000,203
1678006800000,327
1678010400000,493
1678014000000,698
1678017600000,826
1678021200000,661
1678024800000,678
1678028400000,816
1678032000000,803
1678035600000,870
1678039200000,847
1678042800000,732
1678046400000,625
1678050000000,476
1678053600000,340
1678057200000,172
1678060800000,115
1678064400000,42
1678068000000,40
1678071600000,19
1678075200000,19
1678078800000,46
1678082400000,115
1678086000000,653
1678089600000,1274
1678093200000,1093
1678096800000,1150
1678100400000,1085
1678104000000,376
1678118400000,376
1678122000000,602
1678125600000,1073
1678129200000,1013
1678132800000,38
1678143600000,107
1678147200000,176
1678150800000,51
1678154400000,27
1678158000000,21
1678161600000,27
1678165200000,43
1678168800000,116
1678172400000,671
1678176000000,1152
1678179600000,1016
1678183200000,1089
1678186800000,945
1678190400000,421
1678212000000,158
1678215600000,764
1678219200000,882
1678222800000,455
1678226400000,362
1678230000000,245
1678233600000,162
1678237200000,67
1678240800000,27
1678244400000,29
1678248000000,36
1678251600000,56
1678255200000,112
1678258800000,531
1678262400000,1058
1678266000000,925
1678269600000,910
1678273200000,921
1678276800000,1143
1678280400000,1117
1678284000000,1037
1678287600000,1064
1678291200000,1190
1678294800000,1278
1678298400000,1330
1678302000000,1067
1678305600000,845
1678309200000,602
1678312800000,495
1678316400000,393
1678320000000,229
1678323600000,82
1678327200000,51
1678330800000,27
1678334400000,31
1678338000000,64
1678341600000,125
1678345200000,653
1678348800000,1331
1678352400000,884
1678370400000,536
1678374000000,1057
1678377600000,1244
1678381200000,1455
1678384800000,1490
1678388400000,1356
1678392000000,1013
1678395600000,584
1678399200000,451
1678402800000,308
1678406400000,211
1678410000000,79
1678413600000,47
1678417200000,41
1678420800000,43
1678424400000,47
1678428000000,126
1678431600000,677
1678435200000,1276
1678438800000,1184
1678442400000,867
1678446000000,945
1678449600000,1129
1678453200000,1313
1678456800000,1192
1678460400000,1254
1678464000000,1323
1678467600000,1417
1678471200000,1428
1678474800000,1345
1678478400000,1063
1678482000000,723
1678485600000,529
1678489200000,501
1678492800000,340
1678496400000,168
1678500000000,98
1678503600000,57
1678507200000,50
1678510800000,78
1678514400000,92
1678518000000,333
1678521600000,453
1678525200000,704
1678528800000,860
1678532400000,948
1678536000000,918
1678539600000,866
1678543200000,857
1678546800000,1002
1678550400000,976
1678554000000,965
1678557600000,943
1678561200000,926
1678564800000,831
1678568400000,573
1678572000000,510
1678575600000,505
1678579200000,361
1678582800000,246
1678586400000,178
1678590000000,91
1678593600000,94
1678597200000,59
1678600800000,93
1678604400000,187
1678608000000,247
1678611600000,397
1678615200000,586
1678618800000,770
1678622400000,924
1678626000000,789
1678629600000,834
1678633200000,1236
1678636800000,1119
1678640400000,1149
1678644000000,1061
1678647600000,996
1678651200000,750
1678654800000,598
1678658400000,422
1678662000000,196
1678665600000,114
1678669200000,48
